ID_LAUDO;Ano;Mes;Sistema;Subsistema;Descricao;Tipo_Falha;Gravidade;Urgencia;Tendencia;GUT;Prioridade;Responsavel;Local;Local_Publico;Detalhe_Unidade;Status_Correcao;Data_Conclusao
006/2026;2026;;Climatização;Instalação frigorígena;Fixação insuficiente das linhas frigorígenas;Execução;;;;;1;Unidade;Cobertura;Área comum;1801-B e 1804-B;Aberto;
006/2026;2026;;Gestão;Intervenção em área comum;Instalação em área comum sem comunicação prévia / sem ART / sem documentação técnica;Gestão;;;;;1;Unidade;Cobertura;Área comum;1801-B e 1804-B;Aberto;
007/2026;2026;;Civil;Deck / impermeabilização;Furo na parede para passagem de tubulação sem acabamento/impermeabilização;Execução;;;;;2;Unidade;Unidade;Unidade;1706-B / origem 1803-B;Aberto;
007/2026;2026;;Civil;Deck / impermeabilização;Impermeabilização do deck com baixa vida útil aparente;Degradação;;;;;2;Unidade;Unidade;Unidade;1706-B / origem 1803-B;Aberto;
007/2026;2026;;Segurança;Deck piscina;Materiais inflamáveis próximos à bomba da piscina;Segurança;;;;;2;Unidade;Unidade;Unidade;1803-B;Aberto;
007/2026;2026;;Civil;Deck piscina;Ausência de ralo visível para escoamento pluvial;Projeto;;;;;2;Unidade;Unidade;Unidade;1803-B;Aberto;
007/2026;2026;;Operacional;Deck piscina;Entulho e sujeira com risco de entupimento;Operacional;;;;;3;Unidade;Unidade;Unidade;1803-B;Aberto;
007/2026;2026;;Elétrico;Quadro elétrico;Quadro sem identificação de circuitos;Operacional;;;;;2;Unidade;Unidade;Unidade;1803-B;Aberto;
007/2026;2026;;Elétrico;Quadro elétrico;Ausência de dispositivo DR;Segurança;;;;;1;Unidade;Unidade;Unidade;1803-B;Aberto;
008/2026;2026;;Incêndio;Sinalização de extintor;Necessidade de mudança/correção da sinalização do extintor na entrada da garagem;Manutenção;;;;;3;Condomínio;Área comum;Área comum;;Aberto;
008/2026;2026;;Segurança;Corrimão de acessibilidade;Falha de fixação na base do corrimão;Segurança;;;;;3;Condomínio;Área comum;Área comum;;Aberto;
008/2026;2026;;Incêndio;Luminária de emergência;Luminária de emergência do elevador do bloco B com falha de fixação;Manutenção;;;;;3;Condomínio;Área comum;Área comum;;Aberto;
008/2026;2026;;Segurança;Sinalização horizontal;Sinalização horizontal externa deficiente;Manutenção;;;;;3;Condomínio;Área comum;Área comum;;Aberto;
009/2026;2026;;Operacional;Lixeira;Dobradiças rangendo;Manutenção;;;;;3;Condomínio;Área comum;Área comum;;Aberto;
009/2026;2026;;Ventilação;Lixeira;Exaustor não funciona adequadamente;Manutenção;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
009/2026;2026;;Civil;Lixeira;Revestimento cerâmico descolando;Degradação;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
